Name,Rating 2.0,Headshot %,KPR (kill per round),KAST %,Impact,TeamName
Apex,0.97,42.5,0.57,69.5,0.88,Vitality
Magisk,1.14,48.8,0.7,74.1,1.08,Vitality
Zywoo,1.26,43.6,0.78,75.8,1.32,Vitality
Flamez,1.13,46,0.69,75.1,1.08,Vitality
Spinx,1.17,51.2,0.75,75.7,1.09,Vitality
Snappi,0.92,47.6,0.58,68.2,0.84,ENCE
Nertz,1.14,47.7,0.74,70.9,1.15,ENCE
Maden,1.01,46.9,0.65,69.8,0.96,ENCE
Dycha,1.04,48.3,0.64,70.2,1.03,ENCE
Sunpayus,1.2,28.3,0.75,73.7,1.18,ENCE
Niko,1.31,55,0.83,75.4,1.37,G2
M0nesy,1.16,39.7,0.75,71.2,1.16,G2
Hooxi,0.86,47.7,0.5,68.2,0.78,G2
Jks,1.01,56,0.59,74.8,0.78,G2
Hunter,1.13,46.4,0.73,73.3,1.09,G2
Cadian,1.07,29.5,0.66,70.1,1.04,Heroic
Stavn,1.16,45.2,0.75,73.5,1.15,Heroic
Teses,1.06,51.2,0.67,73.2,0.98,Heroic
Sjuush,1.08,48.9,0.67,73.7,0.96,Heroic
Jabbi,1.02,54.1,0.64,70.9,1.02,Heroic
Device,1.22,24.5,0.75,74.1,1.21,Astralis
Borup,0.95,60.9,0.59,69.3,0.91,Astralis
Blamef,1.25,34.1,0.74,75.8,1.24,Astralis
Staehr,0.99,46.4,0.61,70.7,0.85,Astralis
Buzz,1.05,44.7,0.64,73.2,0.97,Astralis
Karrigan,0.87,44.2,0.52,66,0.79,Faze
Rain,1.04,55.3,0.64,68.2,1.1,Faze
Twistzz,1.16,60.1,0.73,76,1.07,Faze
Ropz,1.16,59.1,0.77,72.7,1.14,Faze
Broky,1.08,29.8,0.66,71.7,0.94,Faze
Acor,0.99,29.6,0.66,64.8,1.03,Gamer Legion
Nealan,0.87,53,0.56,64.4,0.8,Gamer Legion
Keoz,0.91,56.7,0.61,64.8,0.93,Gamer Legion
Isak,1.01,45,0.64,69.3,0.95,Gamer Legion
Volt,0.95,50.2,0.61,66.4,0.92,Gamer Legion
Hobbit,1.06,46.4,0.67,71.5,1.03,Cloud9
Electronic,1,52.1,0.65,67.9,1.09,Cloud9
Ax1le,0.88,41.9,0.58,64.6,0.96,Cloud9
Sh1ro,1.21,30.8,0.79,75.6,1.14,Cloud9
Perfecto,1.09,39.7,0.68,75.4,0.86,Cloud9
S1mple,1.16,41.4,0.75,72.3,1.14,Natus Vincere
Aleksib,0.97,42.2,0.56,70.1,0.88,Natus Vincere
Im,1.01,42.1,0.67,68.4,1.05,Natus Vincere
Bit,1.1,61.7,0.69,72.5,1.04,Natus Vincere
Jl,1.02,50.2,0.66,69.4,0.95,Natus Vincere
Frozen,1.26,53.7,0.79,75.6,1.18,Mouz
Siuhy,0.97,49.1,0.6,71.1,0.87,Mouz
Torzsi,1.21,30.4,0.74,76.9,1.13,Mouz
Jimpphat,1.04,50.7,0.59,75.1,0.86,Mouz
Xertion,1.07,49.4,0.68,69.9,1.15,Mouz
Sdy,1.06,42.7,0.69,70.8,1.02,Monte
Bro,0.96,55.8,0.61,69.5,0.86,Monte
Woro2k,1.15,31.9,0.76,70.7,1.19,Monte
Demqq,1.11,52,0.69,71.8,1.12,Monte
Krasnal,1,46.6,0.65,68.9,0.99,Monte
Konfig,0.99,60.6,0.66,68.3,0.99,Ninjas in Pyjamas
Rez,0.98,50.9,0.6,70.7,0.85,Ninjas in Pyjamas
Hampus,0.97,37.9,0.61,67,0.92,Ninjas in Pyjamas
Brollan,0.99,58,0.62,69.9,1.02,Ninjas in Pyjamas
Headtr1ck,1.07,29.6,0.68,70.8,0.97,Ninjas in Pyjamas
Mir,1.11,51,0.68,74,1.03,Virtus Pro
Flit,1.14,46.9,0.67,71.2,1.19,Virtus Pro
Jame,1.19,28.5,0.7,77.7,1.07,Virtus Pro
N0rb3r7,1.05,58,0.6,72.2,0.99,Virtus Pro
Fame,1.16,58.1,0.71,74.7,1.1,Virtus Pro
Styko,0.98,55.6,0.64,70.5,0.84,Apeks
Jkaem,1.11,50.5,0.73,67,1.32,Apeks
Nawwk,1.07,34.9,0.67,72.6,0.96,Apeks
Cacanito,1.05,49.2,0.68,70.3,1.04,Apeks
Kyxsan,1,47.5,0.63,73.3,0.85,Apeks
Krimz,1.01,44.2,0.61,70.5,0.86,Fnatic
Dexter,0.89,52.3,0.59,66.8,0.8,Fnatic
Roej,1,48.6,0.64,66.2,1.08,Fnatic
Mezii,1.11,51.6,0.7,72,1.09,Fnatic
Afro,1.13,28.3,0.73,69.8,1.16,Fnatic
Naf,1.08,44.1,0.68,70.7,0.99,Team Liquid
Osee,1.03,26.3,0.67,68.1,0.97,Team Liquid
Yekindar,1.01,57.5,0.63,66.9,1.07,Team Liquid
Rainwaker,0.9,41.1,0.54,68.6,0.8,Team Liquid
Patsi,1.09,44.2,0.71,69.2,1.15,Team Liquid
Hen1,1.07,29.2,0.67,75.2,0.84,Imperial
Boltz,1.11,39.4,0.66,74.2,1.08,Imperial
Felps,1.05,40.6,0.69,67.3,1.21,Imperial
Vini,1.02,42.2,0.64,71.3,1.01,Imperial
Jota,1.06,52.3,0.65,74.7,0.97,Imperial
Fallen,1.03,29,0.64,71.6,0.95,Furia
Chelo,1.02,61.5,0.63,71.4,0.95,Furia
Art,1.06,43.7,0.67,69.1,1.14,Furia
Yuurih,1.08,42.7,0.68,71.2,1.03,Furia
Kscerato,1.19,46.3,0.71,76.6,1.06,Furia
Mynio,0.91,48.2,0.58,65.9,0.85,9INE
Goofy,1.04,38.6,0.64,71.1,0.98,9INE
Hades,1.12,27.6,0.73,71.8,1.1,9INE
Kei,1.11,47.9,0.73,69.9,1.2,9INE
Kylar,1.02,52.2,0.67,71.6,0.96,9INE
Tabsen,1.03,52,0.66,67.8,1.07,BIG
Mantuu,1.07,24.1,0.67,72.1,1.06,BIG
Prosus,1.02,57.9,0.64,71.2,1.01,BIG
Krimbo,1.15,49.2,0.72,73.7,1.06,BIG
S1n,1.03,51.3,0.64,71.2,0.98,BIG
Chopper,0.99,55.5,0.6,71.8,0.85,Spirit
Magixx,1.09,47.2,0.64,75.8,0.86,Spirit
Zont1x,1.1,42.8,0.66,72.4,1.07,Spirit
Donk,1.33,58.3,0.9,74,1.47,Spirit
Artfrost,1.17,20.5,0.68,75.4,1.02,Spirit
Elige,1.22,45.9,0.77,74.6,1.23,Complexity
Jt,0.97,55.2,0.57,70.2,0.9,Complexity
Floppy,1.08,53,0.65,74.6,0.9,Complexity
Hallzerk,1.1,35.4,0.68,71.3,1.08,Complexity
Grim,1.09,51.5,0.68,72.5,1.09,Complexity
Exit,1.04,49.3,0.62,75,0.87,MIBR
Saffee,1.13,28.1,0.73,71.8,1.1,MIBR
Drop,1,48.4,0.6,72.3,0.91,MIBR
Brnz4n,1.01,55.3,0.63,68.7,1.06,MIBR
Insani,1.06,53,0.68,70.8,1.07,MIBR
Nexa,0.95,51.7,0.59,70.7,0.77,OG
Fashr,1.04,54.2,0.65,69.2,1.08,OG
K1to,1,62.9,0.65,68.6,1.01,OG
F1ku,1.03,53.9,0.64,70,0.99,OG
Regali,1.06,31.6,0.69,71.2,0.97,OG
Blitz,1.11,50.4,0.73,69.9,1.11,TheMongolz
Techno,1.06,62.4,0.69,71.4,0.99,TheMongolz
Senzu,1.13,57.7,0.76,68.1,1.22,TheMongolz
Mzinho,1.05,62.8,0.68,69.8,1.03,TheMongolz
910,1.09,31,0.69,72.1,1.02,TheMongolz
Alex,1.02,45.6,0.66,71.5,0.91,Movistar Rider
Just,1.03,48.6,0.65,70.3,1,Movistar Rider
Mopoz,0.98,50,0.6,68.2,1.01,Movistar Rider
Adams,1.04,38.4,0.67,70.3,1.04,Movistar Rider
Martinez,1.16,32.4,0.73,73.2,1.14,Movistar Rider
Nickelback,0.98,44.3,0.62,69.7,0.94,1WIN
Boombl4,1,37.6,0.63,69.5,0.99,1WIN
Forester,1.09,47.2,0.69,71.4,1.11,1WIN
Travis,1.08,51.2,0.68,72,1.03,1WIN
Deko,1.25,36.4,0.8,75,1.2,1WIN
Rigon,1.06,52.9,0.72,67.7,1.17,Bad News Eagles
Sener1,0.95,50.9,0.58,69.4,0.86,Bad News Eagles
Juanflatroo,1.09,53.6,0.73,70.7,1.09,Bad News Eagles
Sinnopsyy,0.99,49.9,0.64,67.8,0.97,Bad News Eagles
Gxx-,1.06,29,0.7,70.1,0.99,Bad News Eagles
Lack1,0.95,47.7,0.65,65,1.02,Aurora
Sellter,0.92,54.4,0.6,68.2,0.78,Aurora
Kensi,1.11,47.3,0.72,70.1,1.12,Aurora
Norwi,1.08,48.4,0.7,72.6,1.01,Aurora
Lattykk,1.04,32.5,0.66,70.1,1.02,Aurora
Autimatic,1.03,49,0.66,68.8,1.06,Evil Geniuses 
Junior,1.13,27.9,0.72,73.4,1.05,Evil Geniuses 
