TeamName,Inferno (win%),Mirage (win%),Nuke (win%),Anubis (win%),Overpass (win%),Vertigo (win%),Ancient (win%)
Vitality,88.9,72.7,100,66.7,66.7,50,BAN
ENCE,BAN,66.7,62.5,66.7,66.7,80,75
G2,66.7,50,60,50,BAN,50,71.4
Heroic,62.5,55.6,40,BAN,85.7,0,0
Astralis,42.9,BAN,42.9,50,77.8,100,72.7
Faze,66.7,50,80,0,50,BAN,25
Gamer Legion,66.7,20,BAN,50,50,33.3,40
Cloud9,50,50,BAN,71.4,100,66.7,60
Natus Vincere,71.4,62.5,50,75,50,BAN,50
Mouz,83.3,66.7,83.3,BAN,75,33.3,60
Monte,BAN,41.2,42.9,71.4,20,50,72.7
Ninjas in Pyjamas,66.7,42.9,33.3,BAN,25,33.3,70
Virtus Pro,55.6,57.1,BAN,100,80,44.4,100
Apeks,57.1,62.5,BAN,50,25,66.7,37.5
Fnatic,50,BAN,33.3,33.3,50,50,66.7
Team Liquid,0,33.3,BAN,0,25,50,60
Imperial,100,0,33.3,100,25,BAN,0
Furia,33.3,57.1,50,BAN,40,60,50
9INE,BAN,50,33.3,60,75,66.7,41.7
BIG,60,33.3,BAN,57.1,60,57.1,58.8
Spirit,BAN,75,100,50,75,42.9,83.3
Complexity,25,BAN,60,100,57.1,60,50
MIBR,33.3,66.7,60,50,BAN,16.7,40
OG,50,63.6,66.7,0,40,BAN,41.7
TheMongolz,42.9,80,33.3,33.3,20,BAN,80
Movistar Rider,50,BAN,75,50,33.3,66.7,60
1WIN,50,30,87.5,BAN,80,83.3,40
Bad News Eagles,50,61.5,BAN,42.9,50,20,62.5
Aurora,60,50,63.6,50,30.8,BAN,66.7
Evil Geniuses ,50,44.4,50,BAN,28.6,57.1,66.7
