Team,HLTV Rank,Valve Rank,Weeks in Top 30
Vitality,1,1,88
ENCE,2,2,86
G2,3,3,86
Heroic,4,4,178
Astralis,5,7,38
Faze,6,10,133
Gamer Legion,7,12,46
Cloud9,8,9,156
Natus Vincere,9,11,9
Mouz,10,8,58
Monte,11,13,24
Ninjas in Pyjamas,12,16,73
Virtus Pro,13,5,67
Apeks,14,19,26
Fnatic,15,17,56
Team Liquid,16,18,57
Imperial,17,25,69
Furia,18,29,242
9INE,19,20,30
BIG,20,15,19
Spirit,21,6,5
Complexity,22,21,75
MIBR,23,23,18
OG,24,28,7
TheMongolz,25,26,10
Movistar Rider,26,30,48
1WIN,27,14,9
Bad News Eagles,28,22,78
Aurora,29,24,16
Evil Geniuses ,30,27,1
