Name,BLAST_Premier_Spring_Final_2023,BLAST_Premier_Fall_Groups_2023,IEM_Cologne_2023,Gamers8_2023,ESL_Pro_League_Season_18,IEM_Sydney_2023,TeamName
Apex,0.79,1.03,0.94,0.86,0.99,0.88,Vitality
Magisk,1.04,1.19,1.07,1.15,1.28,1.14,Vitality
Zywoo,1.18,1.37,1.25,1.26,1.29,1.12,Vitality
Flamez,NA,0.94,1.13,1.12,0.99,1,Vitality
Spinx,1.08,1.18,1.1,1.08,1.21,1.18,Vitality
Snappi,NA,NA,0.95,0.87,0.95,0.89,ENCE
Nertz,NA,NA,0.97,1.23,1.29,0.94,ENCE
Maden,NA,NA,0.95,1.14,1.02,1.02,ENCE
Dycha,NA,NA,0.95,1.17,1.06,1.08,ENCE
Sunpayus,NA,NA,1.17,1.22,1.27,1.08,ENCE
Niko,1.28,1.3,1.35,1.27,1.11,1.07,G2
M0nesy,1.23,1.04,1.34,1.07,1.21,1.38,G2
Hooxi,0.85,0.8,0.93,0.84,0.87,0.85,G2
Jks,1,1,1.09,0.89,1.06,1.02,G2
Hunter,1.1,1.06,1.21,1.16,1.08,0.99,G2
Cadian,1.2,1.16,1.08,0.95,0.92,NA,Heroic
Stavn,1.17,1.28,1.1,1.17,1.03,NA,Heroic
Teses,1.08,1.11,1.03,1.23,0.82,NA,Heroic
Sjuush,1.01,1.11,1.1,0.99,0.97,NA,Heroic
Jabbi,1.18,1.06,0.95,1.11,1.01,NA,Heroic
Device,0.89,1.21,1.29,NA,1.09,NA,Astralis
Borup,NA,1.03,0.88,NA,0.9,NA,Astralis
Blamef,1.27,1.33,1.16,NA,1.3,NA,Astralis
Staehr,NA,0.99,1.01,NA,0.88,NA,Astralis
Buzz,0.82,1.05,1.03,NA,0.91,NA,Astralis
Karrigan,0.87,0.94,0.75,0.9,0.86,0.89,Faze
Rain,1,1,0.98,0.99,1.01,1.2,Faze
Twistzz,1.2,1.29,0.94,1.15,1.01,1.08,Faze
Ropz,1.04,1.13,1.07,1.12,1.18,1.19,Faze
Broky,1.12,1.1,1,0.92,1.13,1.24,Faze
